node_gene_ID	node_gene_Name	type	target_gene_ID	target_gene_Name	clipExpNum
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000163597	SNHG16	7
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000188185	LINC00265	8
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000196696	AC009022.1	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000197182	MIRLET7BHG	6
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000197989	SNHG12	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000203392	AC105020.1	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000203709	MIR29B2CHG	2
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000204054	LINC00963	2
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000213742	ZNF337-AS1	2
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000215386	MIR99AHG	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000215769	ARHGAP27P1-BPTFP1-KPNA2P3	5
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000223482	NUTM2A-AS1	20
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000224652	LINC00885	2
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000225138	SLC9A3-AS1	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000225331	LINC01678	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000225746	MEG8	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000227110	LMCD1-AS1	2
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000227252	AC105760.2	3
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000227403	LINC01806	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000229299	AL121845.1	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000229807	XIST	19
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000229953	AL590666.2	2
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000230724	LINC01001	2
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000231064	AC234582.1	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000231074	HCG18	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000232677	LINC00665	3
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000233864	TTTY15	3
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000234072	AC074117.1	10
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000235703	LINC00894	2
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000235823	OLMALINC	4
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000235954	TTC28-AS1	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000236144	TMEM147-AS1	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000237250	AL359924.1	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000238035	AC138035.1	3
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000239203	AC093484.1	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000239665	AL157392.3	2
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000240498	CDKN2B-AS1	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000240990	HOXA11-AS	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000242086	MUC20-OT1	4
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000242375	AL590705.3	4
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000245532	NEAT1	17
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000245648	AC022075.1	2
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000245750	DRAIC	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000247137	AP000873.2	3
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000247240	UBL7-AS1	2
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000247556	OIP5-AS1	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000248810	LINC02432	2
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000248932	AC097103.2	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000249087	ZNF436-AS1	6
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000249669	CARMN	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000249736	LINC02242	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000249833	CCDC37-AS1	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000250742	LINC02381	15
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000250899	AC125807.2	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000255234	AP000446.1	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000256028	AC026362.1	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000256146	AC006206.1	2
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000257167	TMPO-AS1	5
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000257176	AC009318.1	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000257354	AC048341.1	2
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000257636	G2E3-AS1	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000258301	VASH1-AS1	2
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000258334	AC125611.4	2
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000258343	AC090001.1	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000258399	AL117190.1	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000259319	AF111167.2	3
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000259363	AC090825.1	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000259583	AC015712.2	1
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000259673	IQCH-AS1	2
MIMAT0000062	hsa-let-7a-5p	M2L	ENSG00000259943	AL050341.2	1
