node_gene_ID	node_gene_Name	type	target_gene_ID	target_gene_Name	clipExpNum
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000029386	Tctn2	2
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000070461	9230112E08Rik	3
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000071456	1110002L01Rik	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000072893	4933439C10Rik	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000073155	1810058I24Rik	2
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000078952	Lncenc1	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000085084	4930570G19Rik	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000085125	Gm16070	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000085438	1700020I14Rik	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000085912	Trp53cor1	2
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000086503	Xist	2
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000086549	Gm13648	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000086915	Gm16365	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000087066	Gm15518	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000087174	5530601H04Rik	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000089810	Gm16536	2
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000092242	Gm20515	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000092274	Neat1	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000092412	Gm20507	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000093553	Gm20633	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000094832	Gm21846	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000097023	Mir9-3hg	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000097167	Gm16740	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000097284	4930480K23Rik	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000097471	5830432E09Rik	2
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000097545	Mir124a-1hg	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000097563	Gm26638	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000097971	Gm26917	2
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000100252	Mir124-2hg	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000100600	A230077H06Rik	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000100826	Snhg14	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000101609	Kcnq1ot1	2
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000102545	6430573P05Rik	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000102602	A930004J17Rik	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000103032	Gm37121	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000103427	Gm37534	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000103753	Gm6934	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000103839	Gm37607	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000105987	AI506816	2
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000106010	Gm42616	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000106408	Gm43321	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000106734	Gm20559	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000107182	Gm43268	2
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000107498	Gm44240	1
MIMAT0000121	mmu-let-7g-5p	M2L	ENSMUSG00000107667	C530044C16Rik	1
