node_gene_ID	node_gene_Name	type	target_gene_ID	target_gene_Name	clipExpNum
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000018451	6330403K07Rik	1
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000021268	Meg3	1
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000024845	Tmem134	1
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000028244	1700025O08Rik	1
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000029092	D5Ertd615e	1
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000029386	Tctn2	1
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000029447	Cct6a	1
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000029878	Dbpht2	1
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000031838	Ifi30	1
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000032846	Zswim6	1
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000033015	4933427E13Rik	1
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000041674	BC006965	1
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000042857	Gm9776	1
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000043773	1700048O20Rik	1
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000044471	Lncpint	1
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000045813	Gm9801	1
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000046764	A530053G22Rik	1
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000047935	Sox1ot	1
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000050334	C130071C03Rik	1
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000051237	9230109A22Rik	1
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000051295	9630028B13Rik	1
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000051729	Gm5087	1
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000051758	4930544M13Rik	1
ENSMUSG00000003410	Elavl3	R2L	ENSMUSG00000052125	F730043M19Rik	1
